CRN,GRADE,IMPACT_POINT,RDWY_ALIGNMENT,UNIT_NUM,VEH_MOVEMENT,VEH_POSITION,VEH_ROLE,VEH_TYPE,PC_HDLGHT_IND,PC_HLMT_IND,PC_REAR_RFLTR_IND
2003023601,2.0,7.0,2.0,2,6.0,11.0,2,21.0,U,U,U
2002217819,9.0,12.0,1.0,1,1.0,8.0,1,20.0,U,U,U
2002213237,9.0,7.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003024604,1.0,12.0,1.0,1,1.0,6.0,1,20.0,U,U,U
2002220864,9.0,9.0,1.0,1,1.0,1.0,2,20.0,U,U,U
2003042139,1.0,12.0,1.0,1,1.0,6.0,1,20.0,U,U,U
2003025707,1.0,12.0,1.0,1,1.0,4.0,1,20.0,U,U,U
2002220319,9.0,10.0,1.0,1,1.0,7.0,2,20.0,U,U,U
2002215445,9.0,99.0,9.0,1,99.0,0.0,2,20.0,U,U,U
2002053209,1.0,9.0,1.0,1,1.0,98.0,1,20.0,U,U,U
2002217514,9.0,11.0,1.0,1,1.0,1.0,2,20.0,U,U,U
2005116692,1.0,3.0,1.0,1,1.0,99.0,2,20.0,U,U,U
2003066369,1.0,11.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003021184,1.0,99.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2002216264,9.0,11.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003030757,1.0,12.0,1.0,1,1.0,7.0,2,20.0,U,U,U
2006071788,1.0,99.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2002213026,9.0,6.0,9.0,1,12.0,1.0,2,20.0,U,U,U
2002211268,9.0,9.0,1.0,2,1.0,0.0,2,20.0,U,U,U
2003032861,3.0,12.0,1.0,1,1.0,99.0,0,20.0,U,U,U
2002240078,9.0,9.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003068918,1.0,12.0,1.0,2,12.0,0.0,1,20.0,U,U,U
2003040157,1.0,3.0,1.0,2,1.0,98.0,2,21.0,U,U,U
2002229266,9.0,4.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003012165,1.0,12.0,1.0,2,1.0,98.0,1,20.0,U,U,U
2003041735,3.0,1.0,1.0,2,98.0,98.0,0,20.0,U,U,U
2002225760,9.0,99.0,9.0,2,99.0,0.0,2,20.0,U,U,U
2003023096,1.0,12.0,1.0,2,1.0,6.0,1,20.0,U,N,U
2002211378,9.0,11.0,9.0,1,99.0,1.0,1,20.0,U,U,U
2002215264,9.0,12.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2003022330,3.0,12.0,1.0,1,1.0,98.0,2,20.0,U,U,U
2005163391,1.0,12.0,1.0,2,1.0,1.0,1,20.0,U,U,N
2003054917,9.0,99.0,9.0,1,99.0,99.0,0,20.0,U,U,U
2002216605,9.0,12.0,9.0,2,12.0,1.0,1,20.0,U,U,U
2003025738,1.0,0.0,1.0,1,12.0,98.0,1,20.0,U,U,U
2002219081,9.0,9.0,1.0,1,1.0,1.0,2,20.0,U,U,U
2002221471,9.0,10.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2002017756,2.0,8.0,1.0,1,1.0,3.0,2,20.0,U,U,U
2003020402,1.0,3.0,1.0,2,1.0,1.0,2,20.0,U,Y,U
2002217378,9.0,12.0,9.0,1,99.0,8.0,1,20.0,U,U,U
2002230314,9.0,12.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2002226562,9.0,12.0,1.0,2,1.0,1.0,1,20.0,U,U,U
2005195419,3.0,11.0,1.0,2,1.0,1.0,2,20.0,N,N,N
2003025900,9.0,12.0,1.0,2,1.0,1.0,1,20.0,U,N,U
2002225487,9.0,12.0,1.0,2,1.0,1.0,1,20.0,U,U,U
2003010307,2.0,12.0,1.0,2,8.0,1.0,1,20.0,U,Y,U
2005168145,1.0,6.0,1.0,2,1.0,11.0,2,20.0,U,U,U
2002049879,1.0,12.0,1.0,2,1.0,11.0,1,20.0,U,U,U
2003039081,1.0,9.0,1.0,1,98.0,98.0,2,21.0,U,U,U
2002049540,1.0,12.0,1.0,1,1.0,98.0,1,20.0,U,Y,U
2003025902,1.0,12.0,1.0,2,1.0,98.0,2,20.0,U,U,U
2003015881,9.0,4.0,1.0,2,1.0,98.0,2,20.0,N,U,N
2003032018,1.0,10.0,1.0,2,1.0,11.0,2,20.0,U,U,U
2002234013,9.0,12.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2002234013,9.0,12.0,1.0,2,1.0,1.0,1,20.0,U,U,U
2002065361,5.0,11.0,1.0,2,15.0,98.0,2,20.0,U,U,U
2003039683,1.0,12.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2003010931,1.0,11.0,1.0,1,1.0,99.0,1,20.0,U,U,U
2003032884,1.0,99.0,9.0,2,4.0,11.0,2,20.0,U,U,U
2002212481,9.0,11.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2003038727,9.0,99.0,1.0,2,1.0,99.0,2,20.0,U,U,U
2003051977,1.0,9.0,1.0,1,12.0,1.0,3,20.0,U,U,U
2002231747,9.0,1.0,1.0,1,1.0,1.0,1,20.0,U,U,U
2002213473,9.0,12.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2002230535,9.0,3.0,1.0,1,1.0,1.0,1,21.0,U,U,U
2002059576,1.0,5.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003042855,1.0,12.0,1.0,1,1.0,0.0,1,20.0,U,U,U
2003009920,9.0,99.0,9.0,2,99.0,99.0,2,20.0,U,U,U
2003023762,1.0,99.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003022328,1.0,12.0,1.0,2,1.0,6.0,2,20.0,U,U,U
2002230544,9.0,99.0,1.0,2,1.0,7.0,2,20.0,U,U,U
2003024887,9.0,99.0,1.0,2,1.0,99.0,2,20.0,U,U,U
2005021293,1.0,6.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003010265,9.0,99.0,9.0,2,99.0,99.0,2,20.0,U,U,U
2002065808,9.0,99.0,1.0,1,10.0,1.0,1,20.0,U,N,U
2002202702,9.0,12.0,9.0,2,99.0,99.0,2,20.0,U,U,U
2003031791,9.0,99.0,9.0,2,99.0,99.0,2,20.0,U,U,U
2003026036,9.0,99.0,9.0,1,99.0,99.0,1,20.0,U,U,U
2003016438,9.0,99.0,1.0,2,1.0,99.0,2,20.0,U,U,U
2002202675,9.0,99.0,9.0,1,99.0,0.0,1,20.0,U,U,U
2003038767,1.0,99.0,1.0,2,12.0,99.0,2,20.0,U,U,U
2003043589,1.0,99.0,1.0,2,1.0,98.0,2,20.0,U,U,U
2003056502,1.0,12.0,1.0,1,1.0,6.0,1,20.0,U,U,U
2003057680,9.0,12.0,1.0,1,1.0,99.0,1,20.0,U,U,U
2003067696,1.0,99.0,1.0,2,1.0,99.0,2,20.0,U,U,U
2003026092,1.0,12.0,1.0,1,1.0,6.0,2,20.0,U,U,U
2005179471,1.0,3.0,1.0,2,1.0,1.0,2,20.0,U,U,U
2003030881,9.0,99.0,9.0,2,99.0,99.0,1,20.0,U,U,U
2003026041,1.0,6.0,1.0,2,1.0,99.0,2,20.0,U,U,U
2002217654,9.0,99.0,9.0,2,99.0,99.0,2,20.0,U,U,U
2003050346,1.0,12.0,1.0,1,1.0,6.0,1,20.0,U,U,U
2003054037,1.0,12.0,1.0,1,1.0,4.0,1,20.0,U,U,U
2003040729,1.0,12.0,1.0,2,10.0,98.0,2,20.0,U,U,U
2003044179,1.0,99.0,1.0,2,1.0,9.0,2,20.0,U,U,U
2002049479,9.0,99.0,1.0,2,1.0,7.0,2,20.0,U,U,U
2003038756,1.0,12.0,1.0,2,1.0,9.0,2,20.0,U,U,U
2003031864,1.0,6.0,1.0,2,6.0,1.0,2,20.0,U,U,U
